image_id,source_dataset,source_path,perceptual_hash,duplicate_group_id,source_label,pawphile_condition_label,pawphile_finding_label,label_type,label_quality,clinical_validation,split,body_region,dog_id,tier,exclusion_reason
5612b94e-2b07-44c5-adc1-ab47c5e74c20,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\bacterial dermatosis\bacterial_26_jpg.rf.0da9faec0a2c5c6ae43c5528ef07a955.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,bacterial dermatosis,bacterial dermatosis,"[""erythema"", ""pustule"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
f5d65f66-3a70-4e44-9f6e-767f0e9b2d94,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\bacterial dermatosis\bacterial_26_jpg.rf.62596a5b2fdab0ff60299d17b2d9d8db.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,bacterial dermatosis,bacterial dermatosis,"[""erythema"", ""pustule"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
623d42dc-1a64-4304-84cf-8a522dcbb04a,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_14_jpg.rf.9ad838813bfbe2d1447bddae8b4db33b.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
babda07c-8c35-40d8-b62a-9da6f321def3,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_411_jpg.rf.96aa77668238de2de8ff08134dbf05fd.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
f573fe02-29a8-4301-b03e-97e67a0ad733,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_411_jpg.rf.b4ed524dcdf98147f49ce991a1250a79.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
31c54c4e-2e18-47a5-a7bc-a1c01451e0df,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_411_jpg.rf.cfe16a43bc7ec9e07a5c027117c50a84.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
76be86ac-b410-4a85-95f3-9fbbfe8e6d4c,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_212_jpg.rf.bf1c4f3a648aa344651ee517886d60eb.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
8d9424f7-af35-4416-8eea-4746b3d9a199,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\Fungal_infections\1016_jpg.rf.a666986980e03f0f980d3bdb19ccaab3.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,Fungal_infections,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
7843b096-5826-4d6c-a7ef-7a988c0a5fa1,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\436685073_799772981646313_4606726835859676318_n_jpg.rf.a9ad6ccd163f412b8bfd506772a7d428.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
01743c47-5b3d-4c65-b62e-75e19ccae868,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\ringworm-126-_jpg.rf.536a8bd0e8621b91c48c7a3bd53428b1.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
f363bcb6-53aa-4577-9ad9-6ba360528afa,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\WIN_20240514_17_28_58_Pro_jpg.rf.0302842cf1e9f24b11166ffb5037be55.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
0750e99d-5393-4116-aa1b-95a7c8cd3f66,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\test\ringworm\R27_png_jpg.rf.222392f753e3302a0913b85a19243321.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,test,skin,unknown,C,
64b880b1-870a-462a-8fc4-95a43836cdbf,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\valid\hypersensitivity dermatitis\hypersensitivity_323_jpg.rf.55bec3b5d78b30535b1c4cdea0437645.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,hypersensitivity dermatitis,hypersensitivity / allergic dermatitis,"[""erythema"", ""lichenification""]",disease-level (provisional),research-only,unsupported,valid,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
77fe09db-ab8a-4ecf-b4df-4458172e79fd,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\valid\Healthy\HEALTHY_041_jpg.rf.57bb5b12d5cc5559268c608bf1d62c87.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,Healthy,healthy,[],disease-level (provisional),research-only,unsupported,valid,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
200276a1-272c-4721-b59a-10eb946eb79d,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_374_jpg.rf.2a657458fdf79a7fa06befdd7941c7d6.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
8ac7607f-7f97-4201-a26e-0d5b0a4aaa9b,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_63_jpg.rf.c21e827463ef73bcf1440443d7ddf60e.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
b12f413c-152a-4d4d-8bcf-ec68fa0e19b5,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\demodicosis\P33_png_jpg.rf.21961e5b52424dd80dd83d706c7d34cc.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,demodicosis,demodicosis,"[""alopecia"", ""erythema"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
0bdc968e-7030-4c08-9bbf-774d5df45fd3,Multispectral,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Classification of pet dog skin diseases using deep learning with images captured from multispectral imaging device\5dbht54kw7-1\Dog210707_01_01_04\pic9.jpg,576,009cf828-ff9a-4643-bb92-828f84b2bb77,unknown,unknown,[],disease-level (provisional),research-only,unsupported,none,skin,pic9.jpg,D,Perceptual Duplicate / Augmentation Leakage
27021427-6205-4d56-b605-43a927045115,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_train_14_jpg.rf.8de98ba145c764c39a46894e93d50980.jpg,1567,00b12365-6120-47d7-bda2-53129c6f3dcc,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,C,
24e5cc5a-944b-411e-aa03-dae463c8a9f2,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\demodicosis\2024-05-13-165130_jpg.rf.1ceda77bae4150080c88dea20980cf2b.jpg,1567,00b12365-6120-47d7-bda2-53129c6f3dcc,demodicosis,demodicosis,"[""alopecia"", ""erythema"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
97dafaf2-d671-4423-9ddb-3c3cd0edbad5,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\test\Fungal_infections\Fungal4_png_jpg.rf.681cee720a75f7d8858e8d4f5fd4406e.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,Fungal_infections,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,test,skin,unknown,C,
687f7925-02db-46f4-9d5d-2cf2c28f12d4,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\valid\Hypersensitivity\1158_jpg.rf.b408a15e85e3639ab617c32bcf79e43f.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,Hypersensitivity,hypersensitivity / allergic dermatitis,"[""erythema"", ""lichenification""]",disease-level (provisional),research-only,unsupported,valid,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
873b2770-882d-4ba0-9815-5285f4876cc2,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\bacterial dermatosis\bacterial_173_jpg.rf.646f0a74b3cd1ff6f170d157dca1a883.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,bacterial dermatosis,bacterial dermatosis,"[""erythema"", ""pustule"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
492c61c3-438e-4ff7-a640-23cdf2c8b294,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_100_jpg.rf.b5d2f94d9cba8a0a7607ded00d163bba.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
78dab208-d3ee-4d79-93be-d6ec0d6f589a,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_221_jpg.rf.b202b1bd8ea9d6cde7cc11fffa57e2fa.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
26e844c2-3bef-4adf-ae9d-fca6bc492ff2,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_221_jpg.rf.cb7817e549455ff4aa2d4d14ebf2dd88.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
41c6d192-b96d-4cb8-b1ce-ca7d09d2ce9c,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_331_jpg.rf.424ce1293632bc57e2328e9d1cb7ee87.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
abcc8d2c-2a0f-4f62-909d-7e77e3824452,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_331_jpg.rf.6348a5c12bd1486c7e44feaa987ec26b.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
39e1265e-2acc-44cc-b2af-20caf9caab17,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_331_jpg.rf.ebd95982f6d67c819fa8fc40c584052c.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
9cfb7bd8-8cbb-4412-b458-ee98a299b0d0,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\demodicosis\scabies_115_png_jpg.rf.41c24832875458e8367afcd7e0417afb.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,demodicosis,demodicosis,"[""alopecia"", ""erythema"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
2c9f3ed4-5893-469c-a112-2cbc7334585d,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\436815977_459940293272172_9180748049987512532_n_jpg.rf.de14f1d85b3d9aa1c7ae6088e0107aef.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
21c63d2e-41f3-4058-b8e1-e675c3e522d8,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\ringworm-113-_jpg.rf.67b7e14680efa584f424f400b54dc6e6.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
5bdca109-913b-4ce0-8d49-bca949580965,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\WIN_20240514_17_28_04_Pro_jpg.rf.6555fa133b65e1cd3e1da495344115ff.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
d6ec20f4-a069-4b5f-9cff-c36825fc9c0a,Multispectral,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Classification of pet dog skin diseases using deep learning with images captured from multispectral imaging device\5dbht54kw7-1\Dog210821_02_01_00\pic3.jpg,768,00dcf2f0-846c-420e-a711-0b801759fdc4,unknown,unknown,[],disease-level (provisional),research-only,unsupported,none,skin,pic3.jpg,D,Perceptual Duplicate / Augmentation Leakage
45a06319-0852-4361-838d-92403d45fa49,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\bacterial dermatosis\bacterial_395_jpg.rf.5be53c12ec3e48083e53365c93afacff.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,bacterial dermatosis,bacterial dermatosis,"[""erythema"", ""pustule"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,C,
19e31f02-0122-42b7-b8db-e99087703f50,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_384_jpg.rf.853631030eb4a9497755a28466ea2361.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
5d7dec72-5330-4e72-8c6c-2c699dbafb55,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_384_jpg.rf.dd351a491846227fd900c2572c26446d.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
6d221d47-61bc-41e3-b36b-d509d509afc8,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_train_14_jpg.rf.657b1a3e2bc96d22a5eeaa8aaff0bb5c.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
bf5396b3-1b00-4a6f-96a2-650e32ee0722,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\healthy\healthy_train_14_jpg.rf.f31ee20b0d47b8eb6348918a88ae1214.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
373fb171-d069-4a9d-91a0-2fe827b0c9d5,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\hypersensitivity dermatitis\hypersensitivity_95_jpg.rf.008eea64b0fa098852b5f9a07f8c4666.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,hypersensitivity dermatitis,hypersensitivity / allergic dermatitis,"[""erythema"", ""lichenification""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
705605b4-890f-4af7-ad23-5eef5e686009,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\hypersensitivity dermatitis\hypersensitivity_95_jpg.rf.a9e0a4e4a43bd642135cedc965ffa5c6.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,hypersensitivity dermatitis,hypersensitivity / allergic dermatitis,"[""erythema"", ""lichenification""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
041d93e9-621e-4acc-95b7-62e1aa7ef6b1,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\Healthy\666_jpg.rf.a57296a4c12c4b0ce2403d5e9a2caa3c.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,Healthy,healthy,[],disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
1c44205c-9617-4629-973e-2ba057512fe2,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\ringworm\NEWR37-1-_png_jpg.rf.00e7d8a62219e05edc3fd3ce43bb75f3.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
fa40b55c-f5c6-465f-9d7a-4f44f0734781,Multispectral,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Classification of pet dog skin diseases using deep learning with images captured from multispectral imaging device\5dbht54kw7-1\dog210505_01_02_26\pic1.jpg,1568,00e7bff9-879d-4a1f-a94e-3b2998d5d641,unknown,unknown,[],disease-level (provisional),research-only,unsupported,none,skin,pic1.jpg,D,Perceptual Duplicate / Augmentation Leakage
c9c91991-f712-4e1b-b16f-9ff5201cbdd4,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\test\ringworm\ringworm-11-_jpg.rf.61fdf6d065188bfbd86a1601f7644715.jpg,700,0190fc90-7e94-450a-9af8-9c08ea405cc8,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,test,skin,unknown,C,
0278677b-a18e-477e-97c8-4aeb00f42502,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\fungal infection\fungal_111_jpg.rf.93538eb0f0342029ca9626e60249fc21.jpg,700,0190fc90-7e94-450a-9af8-9c08ea405cc8,fungal infection,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
